,Rating,Lang,Type,Country,Date,Helpful,translated
155,5,it,Verified,Italy,21/01/2020,1,A little expensive but my baby likes it to death. It has several sounds and the light on the tummy helps to make her fall asleep.Along with the rhythmic movement of the abdomen and the sound of the heart beating makes my baby fall asleep in no time... recommended!
166,5,it,Verified,Italy,11/10/2020,,"This plush is gorgeous!! I bought it for my 6-month-old to help him sleep alone. Actually the otter was literally kidnapped by my 2-year-old son. He fell in love with the belly that goes up and down and doesn't want to be without it anymore. The otter is fantastic easy to wash. Even the music adjustments, tummy light up and down are easy to set up. I'm really happy with the purchase."
172,5,it,Verified,Italy,22/07/2020,,"The sounds (adjustable volume fortunately), the light on the tummy and the slow but continuous movement of the breath relax the child, so much so that he falls asleep even hugged!It is not very soft, at least not where there is the electronic part, but it is not dangerous."
194,5,it,Verified,Italy,14/12/2020,,"I loved this plush already from the photos and descriptions and when I received it confirmed my expectations! I took it for my baby of 5 months and when I never discovered it before!! The noises of the womb make him fall asleep practically immediately! The melodies are really relaxing, you can adjust the volume (and it is not a trivial thing) the tummy that moves is really nice to see! You can program the function (for example melody + light or breath + light...) that we want to make the baby listen and then just press the button on the belly and then goes on for 30 min then turns off. The only defect is that the buttons to change programming are behind and closed by a strap (safer method for the baby but equally noisy).. If there was a small zip of those missing would be better! For the rest the extra advice! Quality report - great price!"
195,5,it,Verified,Italy,16/11/2019,2,"Wonderful in all this otter! Soft, even considering that it has a great deal inside, beautiful music, soft noises, nice face and cuddle... Perfect!"
199,4,it,Verified,Italy,10/11/2020,,"Puppet really cute. Various functions including heartbeat, breathing, relaxing music. Beautiful the function of the tummy that moves as if breathing. At the moment does not do the calming effect hoped for for my baby girl (maybe she is too small having only 7months) but I hope for the future."
201,5,it,Verified,Italy,20/10/2020,1,"Fantastic, various music and white noises including a nice sound of snoring and heartbeat, has a light on the sandwich that lights up, and the sandwich simulates the movement of the breath, recommended"
229,5,it,Verified,Italy,28/11/2020,,"Beautiful, soft, great audio, the case sounds good. Sweet melodies, heartbeat sounds and very relaxing breathing. Beautiful also the bed-shaped packaging. The electronics are easily removed to wash the plush. Batteries included. Very recommended as a gift."
235,5,it,Verified,Italy,10/12/2019,,"Soft plush with relaxing music. Very useful. The tummy moves up and down, almost like the melt of a cat. Easy to wash in the washing machine, after removing the internal mechanism. Put also in the dryer.Two defects... the mechanism inside, easily removable, is very heavy, and needs 4 batteries that are discharged quite quickly."
237,4,it,Verified,Italy,7/2/2021,,"Cute and useful for the bed, we use it x sleep it when the repertoire of lullaby runs out! Once asleep we leave it on in the cradle so as to limit the awakenings.. It turns off alone after a half hour.use little the functions breath and light, colors a little off, from awake nn attract a lot x play."
243,5,it,Verified,Italy,19/09/2020,,"I bought it for my grandson who is now two and a half months old. When I took it he was just 10 days old and maybe he was too young to appreciate it. Instead, starting from the second month we put him close to him with the music and he falls asleep or calms down or stays awake but entertains him. I think it's a great game even when he will be a little bigger. Now he only listens to all the sounds that the otter transmits, maybe more there will also appreciate the fact that the new belly and the light on."
244,5,it,Verified,Italy,19/08/2020,,"My little 6 months old hugs her while she sleeps!... she washes quietly in the washing machine and even the batteries can be changed not as I read in another review.. it's very nice, a little rumorous when she breathes, but it's really sweet"
251,5,it,Verified,Italy,21/10/2019,2,Well finished product and pleasant to the touch. The movement that simulates breathing calms the child.
258,4,it,Verified,Italy,26/01/2020,,It's really nice and soft. It's useful to raise and lower the volume according to your needs and to be able to select the function that one prefers at the moment. The only small defect is the fact that it's a bit noisy the movement that reproduces the breath.It's a purchase that I recommend.
269,5,it,Verified,Italy,25/09/2020,,"Plush very cuddly, if you press the tummy you turn on the soft light and start automatically the relaxing music rotating together with the breath. Behind the back there is a pocket where you can set the volume, the music, the white noises and the mechanical breathing."
272,5,it,Verified,Italy,1/2/2020,,"Wonderful this very soft otter, which I gave to my niece who is about to be born. To tell the truth I wanted to keep it, from so much it is adorable and with all the beautiful sounds it emits. Very satisfied and advice!"
277,5,it,Verified,Italy,12/7/2020,,Very sweet and tender otter!!My three-month-old adores her..just part the lullaby falls asleep.Miscellaneous functions all useful and beautiful and with volume adjustmentVery fast shipping
284,3,it,Verified,Italy,16/01/2020,,"It's very nice and soft... but in my opinion it's not worth the price, it doesn't do so many things as I expected and it's also a bit noisy..But it's nice the idea..My son of 6 months doesn't consider it much unfortunately"
285,3,it,Verified,Italy,4/12/2019,3,Very nice as from previous descriptions. piles already inserted. but since in the package is indicated 30' of music and qs after only 2 breaths turns off.... there is something wrong!
286,5,it,Verified,Italy,5/1/2020,,"One of the most successful purchases, Ettore is literally in love with it. We use it mainly in the evening when we have to put him to bed... music is also great for adults"
318,4,it,Verified,Italy,12/1/2021,,"A product dearly beautiful my one-year-old loves it with white noise and falls asleep, my son of 4 is terrified when he sees him breathing"
325,5,it,Verified,Italy,3/11/2020,,"Beautiful! As already told by others, mechanism a bit 'too heavy... But remains a purchase more than right! My baby falls asleep that is a pleasure! (Translated with Google Translate)"
333,5,it,Verified,Italy,13/01/2021,,"She is beautiful, tender, it was for a gift but my girls begged me to keep her.... Truly pretty... And the fact that she gives the impression that she's breathing has, charm..."
359,5,it,Verified,Italy,26/12/2019,,"The adoroooo!! Very beautiful really and very easy to clean, very tender when ""breathing"" and the tummy gets up and gets down. I put it next to my son of 3 months sleeping and his sleep seems to be more serene. Recommended!"
364,5,it,Verified,Italy,7/3/2021,,"After 6 months of use, I confirm that my son loves him! He really helped me in the first few months because he helped him sleep."
369,5,it,Verified,Italy,10/8/2020,,"We bought the little otter for the granddaughter of dear friends, who live far away from us. Therefore making it deliver was the best solution. It loved it and the photos of the little one hugged to the otter are delicious"
372,5,it,Verified,Italy,12/2/2020,,"My baby loves the movement of her breath, and the light from her tummy, and it's really soft, and I can't find any flaws."
382,1,it,Verified,Italy,8/2/2020,1,after only 2 months the mechanism that mimics the breath has broken.sin was a good product but given the duration and the price I do not recommend it.
385,5,it,Verified,Italy,30/01/2020,,"The otter is very nice, and soft... It has many functions, in addition to raising and lowering the sandwich that lights up, it has the noise of the heartbeat, blood flow, breath!!!!"
387,5,it,Verified,Italy,19/12/2019,,"Very tender toy, my baby appreciates it. Maybe a little hard to sleep in, but it's so cute that it's okay anyway."
389,5,it,Verified,Italy,10/11/2019,1,He's become one of the favorites of the human puppy he's been given to.
393,2,it,Verified,Italy,11/11/2019,1,Unfortunately I had to make the return for product not working.
394,3,it,Verified,Italy,3/4/2020,,"Very nice, soft and excellent workmanshipPeccato for the mechanism with the battery compartment that is disproportionately too large and makes the back of the plush hard and overall the object too heavy"
395,2,it,Verified,Italy,6/10/2020,,"Unfortunately after a month and a half of use it stopped working, it didn't cost little so I didn't expect it to last so little... the time for the return had expired and therefore money wasted."
399,5,it,Verified,Italy,30/12/2019,,"Gift for my 5 month old boy... beautiful, for the routine of the bed I light the otter before bed and he relaxes a lot.The movement of the breath is well done, music and beautiful white sounds.I would definitely buy it back"
416,5,it,Verified,Italy,24/03/2020,,"What to say, plush to say the least perfect. My son goes crazy, very relaxing with sounds and movements all disable from the back plush. What very useful is that you can remove the electric part and wash it!!"
422,5,it,Verified,Italy,9/1/2020,,"For my 5-month-old granddaughter, I couldn't choose a better gift, and for parents a great relief because it really facilitates rest."
428,5,it,Verified,Italy,3/11/2020,,"Beautiful, combines sleep, beautiful and soft melodies. My baby loves it. 5 stars deserved."
439,5,it,Verified,Italy,1/5/2020,,"my little girl loved the first 2/3"" months of life, the functionality of breath and fantastic heartbeat to reproduce the noises of the mother's womb"
445,5,it,Verified,Italy,10/12/2020,,"Arrived one day in advance, all well produced very nice thanks amazon for your punctuality"
455,5,it,Verified,Italy,17/11/2020,,The plush is beautiful really realistic the movement of the breath and even the sounds are really nice Highly recommended
464,5,it,Verified,Italy,7/1/2020,,"It looks like a real animal... the breath, the movement of the belly and that slight trembling makes it look like a real animal... very relaxing we liked a lot"
474,4,it,Verified,Italy,18/12/2020,,Fischer price doesn't miss a shot..safe and soft material.. great to calm my daughters. If I find a defect is slightly heavy but otherwise it is fabulous
481,5,it,Verified,Italy,2/4/2020,,Really a nice product. Excellent quality and well working! My little one likes it very much!
482,4,it,Verified,Italy,27/12/2019,,"My newborn daughter of 4 months goes crazy, has various functions, from the tummy that lights up, to the effect of the breath, of the lullaby. I really like that it is easily washable in the washing machine and it is really soft and cuddly as a play."
534,5,it,Verified,Italy,15/10/2020,,"Very nice plush, soft and relaxing for a baby."
554,5,it,Verified,Italy,12/11/2020,,"Otter taken for my two-month-old daughter, but the one-year-old sister fell in love with her and now she always wants her, because the melody that emits the emotion"
565,5,it,Verified,Italy,17/02/2020,,Gift to my 1 month grandson sweet sound helps him sleep
625,5,it,Verified,Italy,26/12/2019,,"Fast shipping, sweet, tender and interesting"
634,4,it,Verified,Italy,24/08/2020,,It was a very appreciated gift
644,5,it,Verified,Italy,20/02/2020,,cute done well to the child and liked
661,5,it,Verified,Italy,19/01/2021,,Indispensable for bed. The puppy falls asleep faster. Highly recommended.
671,5,it,Verified,Italy,6/2/2021,,Beautiful tender and with a melody of 30 minutes that relaxes my daughter excellently
713,5,it,Verified,Italy,28/02/2021,,My baby loves him.. he's a month old but he's already his best friend!
743,5,it,Verified,Italy,6/8/2020,,Great.
752,5,it,Verified,Italy,25/12/2019,,I am satisfied with the purchase I would recommend.
803,5,it,Verified,Italy,6/8/2020,,Product valid to my child likes it very relaxing and is very soft
816,5,it,Verified,Italy,19/12/2019,,Beautiful an article very well done and of which the children will fall in love as soon as they hold her.
818,3,it,Verified,Italy,19/10/2020,,My son had fallen in love with it.
836,5,it,Verified,Italy,30/11/2019,,Beautiful!! Very soft plush is satisfied
846,5,it,Verified,Italy,26/12/2019,,Great plush to help you sleep and easy to clean.
863,5,it,Verified,Italy,26/11/2019,,I bought this toy for my grandson. I can only say it's wonderful!!
870,5,it,Verified,Italy,29/11/2020,,"High quality product, very appreciated gift"
871,5,it,Verified,Italy,18/10/2020,,"Beautiful super cuddly, easy to wash and pamper by the child, without percoli"
876,4,it,Verified,Italy,16/12/2019,,Beautiful even if arrived with low batteries
885,5,it,Verified,Italy,11/12/2019,,As per description
912,5,it,Verified,Italy,20/11/2019,,"Beautiful, the baby sleeps quietly... recommended..."
913,5,it,Verified,Italy,9/1/2020,,Beautiful is cm I expected and arrived on time
945,5,it,Verified,Italy,15/08/2020,,A great ally for the night
949,4,it,Verified,Italy,31/12/2019,,"Nice, nice, soft."
955,5,it,Verified,Italy,5/1/2020,,The product is absolutely valid!
990,5,it,Verified,Italy,15/01/2020,,Very nice and useful toy
1017,3,it,Verified,Italy,27/02/2020,,I expected something better given the cost....
1090,4,it,Verified,Italy,10/1/2020,,My baby loves her...
1135,5,it,Verified,Australia,5/7/2020,,magnificent object
1169,5,it,Verified,Italy,14/08/2020,,good
1316,5,it,Not Verified,Italy,13/11/2019,6,"It works! And it's the most important thing! It helps a lot both to relax, that to accompany the children towards the bed, but it works well also as anti-stress, for those moments when the puppets tend to be more ""soundy"" or they feel neglected. Excellent pet this otter! (even if many will exchange it for a bear...), it turns out to be much more useful than expected. If you don't find it disturbing! Actually the breath, with movement, colors and sounds, is very realistic. In fact you can set noises, relaxing sounds (also human like the heartbeat) and music. You can match us a soft light on the belly, and see it move following the breath. Everything is customizable and can be activated by the battery pack, which has a rather tenacious button, to prevent it from starting inadvertently. The integrated timer is about 30 minutes! Shuttering the battery pack, you can also wash in the washing machine! Also, I would have a little flaw for the rest, I would have been finely padded to the rest of the rest of the material!"
1320,5,it,Not Verified,Italy,12/10/2019,4,"This otter has a very good look and super tender; it is made of polyester and is really soft. It is beige with the inner part of the ears and the plants of the feet in blue fabric. Even the inside of the codina is made of fabric with a lovely drawing of small fishes. The eyes are closed and the arms are sewn to the chest, but they are absolutely not attached to the body, so you can fit a small hand. The dimensions are 25 x 15,5 x 11 cm. and weighs almost half a kilo, because inside, closed by a velcro, it hosts a battery, gigantic, which allows you to adjust the volume and choose which sound you want to listen to your baby through keys with very clear designs. In fact, you can choose between soft music or some relaxing sounds (white noises, sounds of the womb, breath during sleep or heartbeat)."
1322,5,it,Not Verified,Italy,16/10/2019,3,"I took this delicious otter for my grandson, to accompany him in his nap. It is a really intelligent game-help that I wanted to have available when my children were young, because it combines the usual combination of sounds and soft lights, also the movement of the tummy that swells and deflates, giving the impression of breathing together with the child. How many parents have noticed the calming effect of holding the children against their chest to calm them with the perception of their breath? Well, the otter does just that. The baby leans on this soft puppet, wanting to put a hand on us, perceives softness, warmth of the hair, movement of the breath and in addition the music chosen (from true melodies to more neutral sounds). Just regular first volume and sounds on the back, then the otter keeps company for thirty minutes. Very useful object and splendid gift idea."
1323,5,it,Not Verified,Italy,17/10/2019,2,"A soft plush that you want to tighten right away! It represents a beige otter, with ears and feet of a light green and the package reproduces a baby cot very cute. You turn on pressing the tummy, it works with batteries (4 batteries AA 1.5V already included in the package). In it we find the box battery holder, where you can choose one of the four functions of the game: music or relaxing sounds, you can distinguish the sounds of the maternal womb and also sounds of nature that help calm babies. You can feel the breath during sleep and combine the function that simulates a natural breath with the movement of the belly that goes up and down. You can also choose to associate a soft light (which would be the area of the button on the belly). In short, you can customize it as you want. And very nice thing that pushes me to give full of the votes, once removed the box of batteries, you can safely wash in a 30 °. Excellent solution!"
1331,5,it,Not Verified,Italy,10/11/2019,1,"This beautiful otter of Fisher-Price is a plush made especially for children, especially for newborns to help them sleep better, to calm them when they cry and not make them feel alone. The otter was made with a device inserted inside the body of the plush, a mechanism that can be removed by removing it from the back of the otter thanks to a good opening with the velcro, in this way it is also possible to wash the plush in the washing machine. The device has six buttons: - The first two serve to increase or decrease the volume of the music and sounds reproduced by the otter; - The third reproduces the music of some lullaby in rotation, and turns off automatically after thirty minutes; - The fourth reproduces the breath while sleeping, the sound of the wind, the heartbeat and the heartbeat when it is active in the womb, to switch from one type of sound to the other, it is enough to press the button: the first time will stop the sound and the second time will be activated by the sound; the fifth one can lift the breath to the next."
1343,5,it,Not Verified,Italy,20/03/2020,,"After a couple of months of tight test (I have availed myself of the help of Sofia, child of a few months of my colleague). I try in my reviews to be always impartial, but with products of this type ( turned to babies/children) I try to be even more picky precisely for the mission they have. We start immediately saying that the brand in this sense is a certainty, although many do not know that Fisher Price is totally part of the Mattel group since 1993 and that within a few hanni the company that controls it closed all the factories in the USA and transferred all the production in CINA. This small niche just to remind you that despite the very high standards and quality and maniac attention to details as well as the materials of the first order we are talking about the most beautiful products made in CHINA. Having said this, this small (to want to look at it well then much) pet is really addictive..I would say that all the soft plus is a soft feature of the very soft packing mechanism and picking it up with the power of the inside chamber, which I am able to clean up, but it creates an addiction!"
1345,5,it,Not Verified,Italy,19/10/2019,1,"We took this sweet otter for our coming puppet, to put it in the cradle with him. But as we got home our 4 year old fell in love with it literally!The otter is soft and cute, then by pressing the belly you can start the melodies, the white noise, the beat and the breath.It is possible to select the volume and the sounds that you want to make to emit by pressing the button in the back that are under the pellicciotto.I have to say that we loved everyone, it is a real love!"
1346,4,it,Not Verified,Italy,25/10/2019,,"As always the Fisher Price has some really nice ideas and they are always well made the toys branded by them.This small soft and tender otter accompanies or naps of my daughter, with delicate music or with the noise of the cadiac beat, all selectable from a small panel controls placed behind the doll, inside a tear, that protects him from the laborful hands of the children.Once selected what can please the children, you can turn on and off through a big button hidden on the belly of the otter, the thing devcero beautiful is the simulation of the breath and beautiful movement of the belly, in addition light up in a soft and delicate way.So cheers my daughter's naps that listening and watching him sleeps blessed, a good help."
1347,5,it,Not Verified,Italy,14/12/2019,,"This otter is an excellent plush suitable for newborns and small children. The toy has the size of 25 x 15,5 x 11cm for a weight of 488g, of which 380 grams for the battery only. Inside it has a battery (to be fed with 4 AA batteries) by which you can select the type of sound to start at the pressure and adjust the volume level. The product is made of polyester with a beige and blue color for the plant of the feet and the inner area of the ear; the tail is blue with some bright fishes. The consistency of the otter is very soft and delicate. When you will start the music relaxing and calming, the game will realistically imitate human breathing with movements in the belly to up and down with a pleasant lighting effect. The backs have a pre-defined duration of 30 minutes, it is possible to finish the reproduction, touching the button on the belly. The sounds that the otters appear to be pleasant and relaxing for the newborns that from the trials are also in the best of the days, during its many episodes of crying."
1348,5,it,Not Verified,Italy,11/12/2019,,"Among the tenderest animals of the creation the otters have definitely gained a place in the top ten... who doesn't love these wonderful creatures? Fisher Price has really made center with this otter-shaped plush, represented in the most famous and sweet of his poses, intent to sleep blissfully on the back, with his paws on the chest. Very soft and cared for in every detail, we speak of a toy designed for babies, therefore I try dangerous parts. But the plus of this toy is that pressing the tummy lights up and the otter simulates the movement of the breathing, emitting sounds and music. It can be created the ideal combination for each child, selecting the type of sound/music, the furate and the volume. Inside there is the \cuore of the toy, or the feeding (it works with 4 batteries included) and the electronic unit that allows to make movements and sounds. These elements can be removed thus allowing to wash the baby's birthplace in the bedroom. A cure for the design is already reproduced in the small."
1350,5,it,Not Verified,Italy,8/11/2019,,"Finally, a puppet representing a different animal! Not the usual bears that, although cuddly, are always and anyway monotonous, a puppet. This new fisher price line has finally reproduced other types of animals because at the bottom there are not only bears, cats or dogs. In this case it is an otter. A sweet otter that will accompany your children during the nann, but not only. Thought obviously for the little ones does not exhaust but its works when the tannins grow. I tell you immediately that if I could give more than 5 stars to this puppet I would have given them, and now I tell us why: - the puppet is done well, adequate dimensions neither too big nor too small.. perfect for. the nannanna. Morbid even if it has a retro part of the electronics. I am delighted with the aesthetic that in the sounds that are not at all invadable. - does not simply have the function of the night light (which is also soft and does not disturbing) the power of the Lon. It is also funny to be able to breathed through the breathing. It is also in the same way of the music, and in the music, and in the music that it is not able to be able to be able to be able to be able to be able to be able to be able to be able to be used in the movement of the movement of the sounds, and is not to be able to use it is not at all of the sounds are not at all things that it is not intru for anything invad. - it is not invad. - it is not at all - it is not simply the function of the function of night light (which is not too much invad. It is not at all the function of the function of night (that it is not at all too much intru. It is not at all too much, it is not at all too is not at all too small. It is not at all the function of the night (which is not at all the function of the function of the other, and not at all the other, but is not at all the function of the function of the function of the other, it is not at all the other, it is not at all the other, it is not at all the other, it is not at all the other, it is not at all"
1352,5,it,Not Verified,Italy,16/10/2019,,"One of the most beautiful and tender puppets we have ever seen, really keeps the little one company, even during the night. The realization is very good, very soft and is rich in many functions including, the one that hit us most, is the simulation of the breath, really very realistic! In addition to the breath, this small otter, about 26 cm high, can simulate also the heartbeat, sounds of the womb, various sounds and lights, all selectable and adjustable for volume and intensity through an electronic device, powered by batteries (already included), which is inside the toy. It has a really relaxing and calming power, suitable for babies up to about 4/5 years of age, and what important, removing the electronic part, it is possible to wash the small otter in the washing machine! Currently it is sold at little more than 36 euro (October 2019) a price in my opinion more than reasonable to the quality and functionality of this toy of Fisher-Price, a purchase that I recommend with closed eyes!"
1353,5,it,Not Verified,Italy,28/10/2019,,"Excellent product arrived at the Merc house! It is a wonderful otter of Fisher-Price well made and soft. It has no external seams for the safety of our puppy, and has the tummy that moves and that lights up. crushing the tummy in fact will emit a few seconds of relaxing music for the child, this is more a function that will use 'the baby, because' if we go to open it from the back, we have many combinations to make. The first is the adjustment of the sound level, The second is the choice of the ringtone, being of so many white noises that reconcile the sleep, including the heartbeat. The third is the on/off of the light on the tummy while the last function provides only the light without audio. The back is velcro and does not have buttons or seams, and the batteries inserted are protected by a screw drawer, just for the maximum safety for the child."
1356,5,it,Not Verified,Italy,21/10/2019,,"Puppet in the shape of an otter with sound and light effects. THE LONTRA rests supine in its cardboard bed, which is also the original box. Just press the tummy to see the puppet light up and emit a music, in addition to seeing the tummy swelling and deflating as if the otter were really breathing; in the back we find a large remote control that determines the functions both visual and sound. I can wash it in the washing machine (without the electric part). MY CONVINCE? Yes, it is a great gift idea for our children, who relax with the sweet breath of the puppet. Breath is the thing that has most affected me, in fact it seems to be real; an incredible effect. Also the puppet is very soft is well made, so even without using these effects remains a very tender object. If you want to save the box, we can use it as a cot for the small otter. PRO: excellent seams and finishes, visual effects and sounds. CONTACT: to date."
1357,4,it,Not Verified,Italy,12/11/2019,,"Very soft and very cute this plush has a serene and reassuring look perfect to keep you company and accompany the little ones towards sleep. It is powered by 4 fleece stylus, included in the package, that you go to insert in the big command placed inside the otter. One thing I very welcome is the possibility to wash the plush in the washing machine, having the possibility to remove easily and quickly the electric part placed inside. Through the internal command you can set all the functions of the plush, from the type of sound emitted (noise of nature, white noise, breath, music melodies or heartbeat), the volume of the sound effects, the activation of the movement and lighting of the tummy. Once set to activate the plush will press the tummy and, for about 30 minutes, will continue with the program set. Unfortunately, there is a detector of tears that would make it really perfect, making it automatically activate in case of night awakening. The plush is still very nice and the combination of the many sounds make the most suitable!"
1358,4,it,Not Verified,Italy,30/11/2019,,"PRO aspects of this plush for newborns: - Musical plush, but also able to reproduce the movement of breathing - Customizable: music, sounds - Various gaming experiences, sensory and not - Washable in washing machine Negative: - Little padding - High price above 40€ The 4 batteries included are an aspect not a little, but the big controller placed inside the plush is in my opinion too exposed, being there little padding you feel too hard plastic. Of course we then go to feel strongly the product, even for a matter of safety, before giving them to a newborn or a small child we must understand if it can hurt or not, risk that it is excessive to say exist, but more padded would have been better."
1359,5,it,Not Verified,Italy,14/10/2019,,"I chose this game signed Fisher-Price, for my 1 year old son for the time of nap and nap. He liked it a lot and often embraces him even just for game. He likes to press on the tummy and see that it does up and down emitting sweet and relaxing sounds. The otter is very cute, soft hair and soft light grey color that does not cause any discomfort to the children. It produces sounds and musicettes relaxing and calming. It also produces rhythmic movements of the breath that help the child to calm down. You can listen for about 30 minutes: - white noises, - musicettes - sounds of the womb - heartbeat - and relaxing sounds Accompanied by the rhythmic movement of the bench of the Lontra. Also there is the possibility to adjust the volume of me case you want a smoother sound, the light can stay on or you can choose to turn it off. It works with 4pile format of Stylus A (R6) preferred by our own but it is definitely to be doing it already."
1370,5,it,Not Verified,Italy,28/02/2020,,"A wonderful thing! A two or even three in one! At first impact it looks like a puppet, it is soft, safe (it has no sharp part) and light. Then just insert the batteries to turn it into our son's best friend. Toy emits different varieties of sounds, including also the heartbeat (really fabulous!). The thing that amazed me the most is the fact that puppet makes the movement of ""exhale and breathe"" very realistically. Buying advice with my eyes closed!"
1374,5,it,Not Verified,Italy,21/01/2020,,I gave this otter to the son of my dear newborn friend and I have to say that the parents were happy while the baby will undoubtedly appreciate it in a few months when he can grab it and play autonomously.Having the reproduction of sweet sounds and soft lights is perfect to be leaning in the crib next to the child to create a comfortable environment when he is alone.It is possible to wash the plush in the washing machine by removing the electronic part.
1377,5,it,Not Verified,Italy,18/11/2019,,"Really pampered this plush, soft and relaxing thanks to the possibility to reproduce delicate songs and very light vibrations that make its presence felt to the baby. It is also suitable for newborns and it is highly appreciated the possibility to work it in the washing machine removing the electric part inside. It is not very cheap but considering the fisher-price quality and the beauty of the product there is everything. Ideal also for a gift to new parents."
0,5,en,Verified,United Kingdom,18/02/2020,9,"Little one likes it, only down side is the push button on the stomach is very easily turned off so it doesn't always keep going for very long if shes moving around a lot.Lovely soft fur just wish the hard plastic inner was a bit smaller as it makes the whole thing quite cumbersome for little hands to hold or hug."
1,5,en,Verified,United Kingdom,1/1/2020,9,Hey guysI got this little cute otter for my daughter for Christmas she is 8 weeks old its ssooo soothing the music is sssoo nice n soft and just at the right volume the belly moves in and out and the belly lights up and its not too bright it's just enough soon as I put it on within minutes my baby girl is sound asleep it plays for half an hour enough time to put her in a nice soothing sleep till her next feed it calms her when she gets upset it's amazing I recommend for every parent to get 1 of these can not recommend enough fantastic product
2,4,en,Verified,United Kingdom,4/1/2021,5,"I really like this and I'm glad I bought it for my daughter, who is 7 months, the only reason I haven't 5 starred it is because to change the settings you have to open the velcro and it sooo noisy that it disturbs her, seems counterproductive. If it had poppers maybe? If you preselect something you can just press its tummy to turn it on, so it's not the end of the world, still a lovely bedtime routine aid with plenty of different sounds and the breathing in and out tummy movements are a nice touch."
